Sumber Sheet,Tanggal Gabungan,Month,Product,Kategori,Hari,Bulan,Tahun,Batch,Umur,Domisili,Kota,Kota(Jabodetabek),Provinsi,Negara,Background pendidikan,Asal Sekolah,Level pendidikan,Jurusan pendidikan,Jurusan,Jurusan S2 (jika ada),Kesibukan sekarang apa,Kategori Kesibukan,Level Pekerjaan,Kategori Pekerjaan,Waktu terakhir bekerja (kalau lagi nggak kerja/intern),Kegiatan yang dilakukan waktu luang/Hobi,Alasan mengambil kategori Bootcamp,Motivasi mengikuti bootcamp,Dengar Dibimbing darimana,Channel,Mengapa memilih Dibimbing,Pernah/Tidak memiliki pengalaman di bidang yang diambil,Apakah memiliki skill bahasa inggris,Penyaluran Kerja,Blog dibimbing,Community,Pernah ikut acara dibimbing/tidak,Catatan,Pengembalian Kontrak
DM,3/Feb/2025,Feb 2025,Digital Marketing,JCJC+,3,Feb,2025,29+,26,"Jakarta Barat, DKI Jakarta",Jakarta,Jabodetabek,DKI Jakarta,Indonesia,Universitas Islam Negeri Syarief Hidayatullah Jakarta,UIN,Middle,,,-,Bekerja sebagai guru selama 2 tahun dan Digital Marketing sekolah selama 8 bulan,Pekerja,Middle,Karyawan Swasta,Pernah bekerja sebagai marketing di akon korea selama 1 tahun,Menggambar dan olahraga,Kenapa memilih job connector + karena ada program magang selama 3 bulan dan juga penyaluran kerja,"Switch career untuk menambah dan memperdalam ilmu digital marketing, serta memiliki portofolio yang baik dan bekerja sebagai digital marketer",Instagram Ads,Meta Ads,Pernah ikut pelatihan di revou digital marketing dan harga lumayan mahal dan benefit lebih banyak di dibimbing dan jadwal pas weekend,Pernah ikut pelatihan di revou digital marketing dan harga lumayan mahal dan benefit lebih banyak di dibimbing dan jadwal pas weekend,"Saat ini diberikan kesempatan sebagai digital marketing SMK Telkom Jakarta berjalan 8 bulan, melakukan content plan dan menghandle seluruh social media",Tertarik,Tidak,Tidak,Tidak,Instagram ads (pernah ikut pelatihan di platfrom lain dan mencoba cari bootcamp lainya dan muncul iklan dibimbing di IG dan tertarik untuk mengikuti),
HR,4/Feb/2025,Feb 2025,Human Resource,CAJC,4,Feb,2025,6,27,"DKI Jakarta, Jakarta Utara",Jakarta,Jabodetabek,DKI Jakarta,Indonesia,Perbanas Institute,Perbanas Institute,Middle,Keuangan dan Perbankan Syariah,Keuangan,-,Finance Staff di Haina Multimedia Digital,Pekerja,Middle,Karyawan Swasta,-,-,"Kenapa memilih job connector karena lebih komplit benefitnya yang job connector seperti dibantu disalurkan kerja dan dia pengen berkarier di human resources ini, sehingga lebih memilih job connector",Bisa switch career ke bidang HR khususnya bagian payroll kompensasi dan benefit karyawan yang mana bidang tersebut sejalan dengan background pendidikan saya,Instagram Ads,Meta Ads,"Testimoni temannya (yakin dengan Dibimbing karena dari temannya sudah ada yang pernah ikut bootcamp digital marketing di Dibimbing sejak bulan Oktober dan testimoni temannya materinya oke pembimbingnya oke, sehingga dia tertarik dan memilih Dibimbing)","Testimoni temannya (yakin dengan Dibimbing karena dari temannya sudah ada yang pernah ikut bootcamp digital marketing di Dibimbing sejak bulan Oktober dan testimoni temannya materinya oke pembimbingnya oke, sehingga dia tertarik dan memilih Dibimbing)",B2 Upper-intermediate (communicate confidently about many topics with vocab level approximating 4000 words),Tertarik,Tidak,Tidak,Tidak,Instagram Ads (tahu Dibimbing dari ads instagram tiba-tiba muncul lalu dilihat-lihat tertarik dan register),-
FE,4/Feb/2025,Feb 2025,Web Development (FE),JCJC+,4,Feb,2025,22,24,"Kota Bekasi, Jawa Barat",Bekasi,Jabodetabek,Jawa Barat,Indonesia,Universitas Bina Nusantara,Universitas Bina Nusantara (BINUS),High,S1 (Computer Science),Computer Science,-,Job Seeker,Job seeker,Low,Job Seeker,Pernah magang di semester 6 di human capital salam 1 tahun,Desain 3 dimensi,Kenapa memilih job connector reguler dari saran orang tua,"Mendalami skill front end, dan memanfaatkan fitur job connector yang diberikan
",Referral,Refferal,Karena tau dibimbing dari teman dan banyak teman yang alumi,Karena tau dibimbing dari teman dan banyak teman yang alumi,C1 Advanced (express yourself fluently in any situation with vocab level approximating 8000 words),Tertarik,Tidak,Tidak,Tidak,Referral (dari teman yang sudah pernah ikut program UIUX dibimbing),
DE,4/Feb/2025,Feb 2025,Data Engineering,CAJC,4,Feb,2025,10,24,"Pasuruan, Jawa Timur", Pasuruan, Pasuruan,Jawa Timur,Indonesia,Institut Teknologi Sepuluh Nopember,Institut Teknologi Sepuluh Nopember (ITS),High,S1 (Teknologi Informasi) ,Teknologi Informasi,-,Job Seeker,Job seeker,Low,Job Seeker,-,-,"Kenapa memilih job connector karena dia capek apply kerja di tolak terus dan dia bingung salahnya dimana lalu di program ini dibantu disalurkan kerja dan ada persiapan careernya, sehingga lebih memilih job connector ","Saya ingin mendalami peran Data Engineer sebagai salah satu fondasi penting dalam pengelolaan data. Selama proses melamar pekerjaan di posisi Data Scientist maupun AI/ML Engineer, saya menyadari bahwa mayoritas perusahaan membutuhkan persyaratan yang erat kaitannya dengan bidang Data Engineering, seperti pengalaman dengan Hadoop, PySpark, dan teknologi pengelolaan big data lainnya.

Hal ini membuat saya berpikir bahwa saya tidak bisa hanya berdiam diri dan perlu segera meningkatkan keterampilan saya di bidang ini agar lebih siap menghadapi kebutuhan industri. Saya percaya bahwa memiliki pemahaman mendalam tentang Data Engineering akan memperkuat kemampuan saya dalam membangun pipeline data yang efisien, memastikan kualitas data, serta mendukung pengembangan dan deployment model AI secara lebih baik.",Google Search Sendiri,Organic,"Kurikulum dan waktunya di weekend (yakin dengan Dibimbing dilihat dari segi materinya dan kelasnya di weekend jadi tidak bertabrakan dengan kegiatan di weekday, sehingga lebih memilih Dibimbing)","Kurikulum dan waktunya di weekend (yakin dengan Dibimbing dilihat dari segi materinya dan kelasnya di weekend jadi tidak bertabrakan dengan kegiatan di weekday, sehingga lebih memilih Dibimbing)",A1 Beginner (use simple phrases for basic needs with vocab level approximating 700 words),Tertarik,Tidak,Tidak,Tidak,Google search sendiri (tahu Dibimbing dari google cari sendiri karena dia memang cari-cari course lalu dilihat-lihat tertarik dan register),-
HR,4/Feb/2025,Feb 2025,Human Resource,CAJC,4,Feb,2025,6,23,Palmerah - Jakarta Barat,Jakarta,Jabodetabek,DKI Jakarta,Indonesia,Universitas Muhammadiyah Prof. Dr. Hamka,Universitas Muhammadiyah (UM),Middle,S1 (Bimbingan dan Konseling),Bimbingan dan Konseling,-,Job Seeker,Job seeker,Low,Job Seeker,"Saya pernah magang di sekolah SMAN 96 Jakarta sebagai konselor sekolah (Guru Bimbingan dan Konseling). Melakukan konseling siswa, bimbingan kelompok dan kelas klasikal",-,Kenapa memilih Job Connector tidak hanya asah skill tetapi di bantu dalam proses penyaluran kerja ,Dengan mengikuti program HR ini ingin terjun secara profesioanl di bidang tersebut dan  ingin mendalami dan mempelajari bidang HR agar lebih tau lagi halhal yang dipelajari di dalamnya,Google Ads,Google Ads,Dari Instagram penjabarnnya lebih jelas dan penyaluran kerjanya lebih terarah dan terdepat banyak minta dari dibimbing,Dari Instagram penjabarnnya lebih jelas dan penyaluran kerjanya lebih terarah dan terdepat banyak minta dari dibimbing,A1 Beginner (use simple phrases for basic needs with vocab level approximating 700 words),Tertarik,Tidak,Tidak,Tidak,Google Ads (Mencari program bootcamp tentang HR dan menemukan dibimbing lalu cek web dan tertari untuk mendaftar),-
UIUX,4/Feb/2025,Feb 2025,UI/UX,JCJC+,4,feb,2025,33+,20,"Surabaya, Jawa timur", Surabaya, Surabaya,Jawa Timur,Indonesia,Universitas Airlangga,Universitas Airlangga (UNAIR),High,Psikologi,Psikologi,-,Mahasiswa Semester 6,Mahasiswa,Low,Mahasiswa,Freelance selama 1 bulan di bidang elustrasi dan desain,Desain,Kenapa memilih Job connector + karena benefitnya lebih lengkap,"Saya ikut Bootcamp ui ux ini karena saya merasa bidang ini relevan dengan latar belakang saya di psikologi, terutama dalam memahami pengalaman pengguna. Saya pun juga ada background yang lebih in-depth lg untuk bidang desain dan saya ingin punya skill yang bisa lgsg diterapkan di dunia kerja, jd setelah lulus bisa lebih siap dan ga bingung salah arah ",Tik Tok Ads,TikTok Ads,Pernah membandingan dengan diharisenin tetapi fasilitas dibimbing lebih lengkap,Pernah membandingan dengan diharisenin tetapi fasilitas dibimbing lebih lengkap,C2 Mastery (spreak with complete mastery with vocab level approximating 16000 words),Tertarik,,Tidak,Tidak,Tiktok (Muncul konten tentang bootcamp dibimbing dan tertarik untuk ikut bootcamp dibimbing),
HR,4/Feb/2025,Feb 2025,Human Resource,CAJC,4,Feb,2025,6,24,"Batam, Kepulauan Riau", Batam, Batam,Kepulauan Riau,Indonesia,Universitas Islam Malang ,Universitas Islam Malang ,Middle,S1 (Hukum),Hukum,-,Junior Advocate ,Pekerja,Middle,Karyawan Swasta,-,-,Kenapa memilih job connector karena ingin dibantu disalurkan kerja sesuai dengan goalsnya ingin switch career dan dia lihat portofolio Dibimbing banyak membuat dia yakin dan memilih job connector,"Motivasi saya tumbuh disaat saya suka berorganisasi saat sma dan kuliah, ekspektasi saya setelah mengikuti bootcamp ini saya bisa langsung kerja dan berkarir sebagai HR",Google Search Sendiri,Organic,"Sertifikasi BNSP dan job connector (lebih memilih Dibimbing karena ada sertifikasi BNSP dan job connector yang sesuai dengan apa yang dia butuhkan saat ini karena dia ingin switch career, sehingga supaya sekalian dibantu disalurkan kerja)","Sertifikasi BNSP dan job connector (lebih memilih Dibimbing karena ada sertifikasi BNSP dan job connector yang sesuai dengan apa yang dia butuhkan saat ini karena dia ingin switch career, sehingga supaya sekalian dibantu disalurkan kerja)",B2 Upper-intermediate (communicate confidently about many topics with vocab level approximating 4000 words),Tertarik,Tidak,Tidak,Tidak,Google search sendiri (tahu Dibimbing dari google cari sendiri lalu menemukan Dibimbing dilihat-lihat tertarik dan register),-
HR,4/Feb/2025,Feb 2025,Human Resource,CAJC,4,Feb,2025,6,22,"Bandung, Jawa Barat", Bandung, Bandung,Jawa Barat,Indonesia,Universitas Pasundan,Universitas Pasundan,Middle,S1 Manajemen,Management,-,Bekerja sebagai general admin baru awal awal 1 bulan,Pekerja,Middle,Karyawan Swasta,-,-,Kenapa memilih Job connector karena ada penyaluran kerja jadi tidak hanya skill tetapi juga bisa magang dan di salurkan kerja,Karena suka bertamu dengan banyak orang dan tertarik di biang HR dan ingin berkairi di bidang HR,Instagram Ads,Meta Ads,Karena ada program Job Connector dan karena ingin sekali bekerja di bidang HR dan d,Karena ada program Job Connector dan karena ingin sekali bekerja di bidang HR dan d,B1 Intermediate (have simple coversation about familiar topics with vocab level approximating 2500 words),Tertarik,Tidak,Tidak,Tidak,Instagram ads (awal karena muncul di,
DS,4/Feb/2025,Feb 2025,Data Science,JCJC+,4,Feb,2025,33+,25,Yogyakarta, Yogyakarta, Yogyakarta,Yogyakarta,Indonesia,Universitas Sanatha Dharma,Universitas Sanatha Dharma,Middle,S1 Psikologi,Psikologi,-,Bekerja sebagai sales,Pekerja,Middle,Karyawan Swasta,-,-,"Kenapa memilih job connector + karena dia mau dibantu disalurkan kerja dan memang cari kerja susah maksud dia kalau punya uang lebih kenapa ngga harus memilih job connector +, sehingga dia sudah yakin dan memilih yang job connector +",Ingin switch career di bidang data,Instagram Search Sendiri,Instagram,"Garansi penyaluran kerja, job connector, kurikulum dan payment method bisa cicilan (kenapa memilih Dibimbing karena ada garansi penyaluran kerja, job connector dan skema pembayarannya bisa cicilan serta kurikulumnya diajarkan dari bassic, sehingga dia lebih memilih Dibimbing)","Garansi penyaluran kerja, job connector, kurikulum dan payment method bisa cicilan (kenapa memilih Dibimbing karena ada garansi penyaluran kerja, job connector dan skema pembayarannya bisa cicilan serta kurikulumnya diajarkan dari bassic, sehingga dia lebih memilih Dibimbing)",C2 Mastery (spreak with complete mastery with vocab level approximating 16000 words),Tertarik,,Tidak,Tidak,Instagram search sendiri (tahu Dibimbing cari dari instagram lalu menemukan Dibimbing lalu dilihat-lihat tertarik dan register),-
HR,5/Feb/2025,Feb 2025,Human Resource,CAJC,5,Feb,2025,6,24,"Bekasi, Jawa Barat",Bekasi,Jabodetabek,Jawa Barat,Indonesia,Universitas Negeri Jakarta,Universitas Negeri Jakarta (UNJ),Middle,Psychology,Psikologi,-,Job Seeker,Job seeker,Low,Job Seeker,-,-,"Kenapa memilih job connector karena planningnya setelah graduation dari bootcamp ini ingin dibantu mendapatkan kerja walaupun harganya lebih mahal namun tidak apa-apa jika worth it karena nanti akan ada sertifikasi BNSP juga, sehingga lebih memilih job connector karena sudah sesuai kebutuhannya saat ini","Memiliki skill yang mumpuni dalam dunia kerja serta dia punya bassic psychology dia membutuhkan juga sebagai job seeker, sehingga untuk tujuan utamanya selain untuk mengembangkan skill sebelumnya untuk menunjang career kedepannya",Instagram Ads,Meta Ads,Silabus lengkap dan testimoni (kenapa memilih Dibimbing karena silabusnya lengkap seperti pelajaran yang akan disampaikan nanti serta testimoninya bagus),Silabus lengkap dan testimoni (kenapa memilih Dibimbing karena silabusnya lengkap seperti pelajaran yang akan disampaikan nanti serta testimoninya bagus),A1 Beginner (use simple phrases for basic needs with vocab level approximating 700 words),Tertarik,Tidak,Tidak,Tidak,Instagram Ads (tahu Dibimbing dari ads instagram tiba-tiba muncul lalu dilihat-lihat tertarik dan register),-
ML,5/Feb/2025,Feb 2025,AI Machine Learning,CAJC,5,Feb,2025,6,23,"Depok, Jawa Barat", Depok,Jabodetabek,Jawa Barat,Indonesia,Universitas Bina Nusantara,Universitas Bina Nusantara (BINUS),Middle,S1 (Computer Science),Computer Science,-,Kerja sebagai web developer selama jalan 5 bulan,Pekerja,Middle,Karyawan Swasta,-,-,Kenapa memilih job connector karena lebih menarik dan bisa membantu dia nantinya setelah graduation dari bootcamp ini untuk dibantu disalurkan kerja,"Untuk switch karir dan mempelajari machine learning dan ai secara lebih dalam, sehingga untuk tujuan utamanya selain menambah skill baru dan untuk menunjang career kedepannya",Referral,Refferal,Kurikulumnya lebih lengkap (kenapa memilih Dibimbing karena kurikulumnya lebih dalam dan sesuai yang dia butuhkan saat ini),Kurikulumnya lebih lengkap (kenapa memilih Dibimbing karena kurikulumnya lebih dalam dan sesuai yang dia butuhkan saat ini),B1 Intermediate (have simple coversation about familiar topics with vocab level approximating 2500 words),Tertarik,Tidak,Tidak,Tidak,Referral (teman atas anam Firman pernah ikut bootcamp UI UX Design di Dibimbing),-
DS,5/Feb/2025,Feb 2025,Data Science,JCJC+,5,Feb,2025,33+,22,Banten,Banten,Banten,Banten,Indonesia,Universitas Udayana,Universitas Udayana,Middle,S1 (Matematika),Matematika,-,Job Seeker,Job seeker,Low,Job Seeker,-,-,Kenapa memilih job connector+ karena melihat ada fasilitas magangnya dengan harapan agar biar mendapatkan pengalaman lebih dulu sebelum berkarir di bidang data science/analyst,"Ingin mempelajari lebih dalam terkait data analyst karena cita-cita ingin menjadi data analyst profesional. Saya ingin mengikuti bootcamp karena saya lihat dibimbing memiliki program job connector, sebagai freshgraduate yang sedang mencari pekerjaan saya berharap akan mendapat pekerjaan setelah mengikuti program bootcamp di dibimbing.id",Instagram Search Sendiri,Instagram,Sebelumnya pernah mengikuti bootcamp di digitalskola selama 2 bulan dan menurutnya masih kurang sehingga belajar lagi melalui bootcamp dibimbing karena tertarik dengan penyaluran kerja dan berharap bisa mendapatkan pekerjaan melalui fasilitas ini yang saat ini sedang job seeker,Sebelumnya pernah mengikuti bootcamp di digitalskola selama 2 bulan dan menurutnya masih kurang sehingga belajar lagi melalui bootcamp dibimbing karena tertarik dengan penyaluran kerja dan berharap bisa mendapatkan pekerjaan melalui fasilitas ini yang saat ini sedang job seeker,B1 Intermediate (have simple coversation about familiar topics with vocab level approximating 2500 words),Tertarik,,Tidak,Tidak,Instagram search sendiri (mencari tahu platform bootcamp dan melihat dibimbing dari instagram),-
HR,5/Feb/2025,Feb 2025,Human Resource,CAJC,5,Feb,2025,7,27,"Jakarta, DKI Jakarta",Jakarta,Jabodetabek,DKI Jakarta,Indonesia,Universitas Terbuka,Universitas Terbuka,Middle,S1 (Akuntansi),Akuntansi,-,Job Seeker,Job seeker,Low,Job Seeker,-,-,Kenapa memilih job connector karena tujuannya adalah ingin switch career dari akuntansi ke bidang HR sehingga memerlukan fasilita yang mendukung seperti penyaluran kerja,Berkarir di bidang akuntansi kurang lebih sudah 5 tahun dan ingin mencoba switch ke bidang HR dan ada niatan untuk ambil S2 diluar negeri sehingga bootcamp ini menjadi bekal karir kedepannya,Google Search Sendiri,Organic,Setelah searching di google dan melihat temannya ada yang follow di dibimbing sehingga  menurutnya dibimbing ada nilai plusnya karena temannya yang follow dibimbing teman yang bagus selain itu adminnya sangat responsif untuk menjawab pertanyaan pertanyaan student,Setelah searching di google dan melihat temannya ada yang follow di dibimbing sehingga  menurutnya dibimbing ada nilai plusnya karena temannya yang follow dibimbing teman yang bagus selain itu adminnya sangat responsif untuk menjawab pertanyaan pertanyaan student,B1 Intermediate (have simple coversation about familiar topics with vocab level approximating 2500 words),Tertarik,Tidak,Tidak,Tidak,"Google search sendiri (searching by google untuk mencari bootcamp HR yang cocok dan sesuai dengan kebutuhannya saat ini, setelah melihat temannya follow instagram di dibimbing maka semakin yakin bahwa dibimbing ada nilai plusnya karena temannya tersebut teman yang bagus)",
PMPM,5/Feb/2025,Feb 2025,Product Management,JCJC+,5,Feb,2025,14,22,"Sleman, DIYogyakarta", Sleman, Sleman,Yogyakarta,Indonesia,Universitas Gadjah Mada,Universitas Gadjah Mada (UGM),High,S1 (Ilmu Komputer),Ilmu Komputer,-,Mahasiswa semester 8,Mahasiswa,Low,Mahasiswa,-,-,"Kenapa memilih job connector reguler karena saat ini masih kuliah semester akhir dan merasa fasilitas yang di program reguler sudah sesuai dengan kebutuhannya, selain itu jika mengambil yang plus ada program magangnya sehingga proses pembelajarannya jadi lebih lama karena setelah lulus bootcamp ingin langsung bekerja tanpa mengikuti magang",,Instagram Search Sendiri,Instagram,"Sempat compare dengan purwadhika untuk bootcamp product management juga, namun setelah melihat silabus dari dibimbing dan purwadhika, ternyata lebih detail dan lebih lengkap silabus dibimbing. Sehingga lebih memilih dibimbing karena silabusnya yang detail dan lengkap","Sempat compare dengan purwadhika untuk bootcamp product management juga, namun setelah melihat silabus dari dibimbing dan purwadhika, ternyata lebih detail dan lebih lengkap silabus dibimbing. Sehingga lebih memilih dibimbing karena silabusnya yang detail dan lengkap",B2 Upper-intermediate (communicate confidently about many topics with vocab level approximating 4000 words),Tertarik,Tidak,Tidak,Tidak,"Instagram search sendiri (mencari-cari platform bootcamp via instagram lalu menemukan dibimbing serta puwrwadhika, namun lebih memilih dibimbing karena silasbunya lebih detail dan lengkap",
